MTPR from curr14.mtp, Database: group1.cfg
validation set: group2.cfg
Found configuration with mindist=2.00222, MTP's mindist will be decreased
BFGS iterations count set to 3000
BFGS convergence tolerance set to 0.001
Energy weight: 1
Force weight: 0.01
Stress weight: 0
MTPR parallel training started
BFGS iter 0: f=0.0154204
BFGS iter 1: f=0.0154202
BFGS iter 2: f=0.0154201
BFGS iter 3: f=0.01542
BFGS iter 4: f=0.0154198
BFGS iter 5: f=0.0154196
BFGS iter 6: f=0.0154195
BFGS iter 7: f=0.015419
BFGS iter 8: f=0.0154184
BFGS iter 9: f=0.015418
BFGS iter 10: f=0.0154176
BFGS iter 11: f=0.0154173
BFGS iter 12: f=0.0154171
BFGS iter 13: f=0.0154168
BFGS iter 14: f=0.0154167
BFGS iter 15: f=0.0154165
BFGS iter 16: f=0.0154161
BFGS iter 17: f=0.015416
BFGS iter 18: f=0.0154157
BFGS iter 19: f=0.0154154
BFGS iter 20: f=0.015415
BFGS iter 21: f=0.0154148
BFGS iter 22: f=0.0154145
BFGS iter 23: f=0.0154144
BFGS iter 24: f=0.0154141
BFGS iter 25: f=0.015414
BFGS iter 26: f=0.0154138
BFGS iter 27: f=0.0154137
BFGS iter 28: f=0.0154133
BFGS iter 29: f=0.015413
BFGS iter 30: f=0.0154128
BFGS iter 31: f=0.0154127
BFGS iter 32: f=0.0154126
BFGS iter 33: f=0.0154123
BFGS iter 34: f=0.0154121
BFGS iter 35: f=0.0154118
BFGS iter 36: f=0.0154116
BFGS iter 37: f=0.0154114
BFGS iter 38: f=0.0154112
BFGS iter 39: f=0.0154109
BFGS iter 40: f=0.0154106
BFGS iter 41: f=0.0154105
BFGS iter 42: f=0.0154102
BFGS iter 43: f=0.01541
BFGS iter 44: f=0.0154099
BFGS iter 45: f=0.0154097
BFGS iter 46: f=0.0154095
BFGS iter 47: f=0.0154093
BFGS iter 48: f=0.0154091
BFGS iter 49: f=0.015409
BFGS iter 50: f=0.0154003
BFGS iter 51: f=0.0154
BFGS iter 52: f=0.0153995
BFGS iter 53: f=0.015399
BFGS iter 54: f=0.0153984
BFGS iter 55: f=0.0153976
BFGS iter 56: f=0.0153969
BFGS iter 57: f=0.0153963
BFGS iter 58: f=0.0153957
BFGS iter 59: f=0.0153951
BFGS iter 60: f=0.0153943
BFGS iter 61: f=0.0153936
BFGS iter 62: f=0.0153932
BFGS iter 63: f=0.0153926
BFGS iter 64: f=0.0153923
BFGS iter 65: f=0.0153919
BFGS iter 66: f=0.0153915
BFGS iter 67: f=0.0153912
BFGS iter 68: f=0.015391
BFGS iter 69: f=0.0153908
BFGS iter 70: f=0.0153907
BFGS iter 71: f=0.0153905
BFGS iter 72: f=0.0153903
BFGS iter 73: f=0.0153902
BFGS iter 74: f=0.01539
BFGS iter 75: f=0.0153898
BFGS iter 76: f=0.0153897
BFGS iter 77: f=0.0153894
BFGS iter 78: f=0.0153891
BFGS iter 79: f=0.0153888
BFGS iter 80: f=0.0153885
BFGS iter 81: f=0.0153881
BFGS iter 82: f=0.0153878
BFGS iter 83: f=0.0153874
BFGS iter 84: f=0.0153872
BFGS iter 85: f=0.0153869
BFGS iter 86: f=0.0153866
BFGS iter 87: f=0.0153862
BFGS iter 88: f=0.0153859
BFGS iter 89: f=0.0153856
BFGS iter 90: f=0.0153852
BFGS iter 91: f=0.0153849
BFGS iter 92: f=0.0153845
BFGS iter 93: f=0.015384
BFGS iter 94: f=0.0153837
BFGS iter 95: f=0.0153833
BFGS iter 96: f=0.015383
BFGS iter 97: f=0.0153827
BFGS iter 98: f=0.0153824
BFGS iter 99: f=0.015382
BFGS iter 100: f=0.0153699
BFGS iter 101: f=0.0153681
BFGS iter 102: f=0.0153658
BFGS iter 103: f=0.015364
BFGS iter 104: f=0.0153627
BFGS iter 105: f=0.0153618
BFGS iter 106: f=0.0153613
BFGS iter 107: f=0.015361
BFGS iter 108: f=0.0153607
BFGS iter 109: f=0.0153604
BFGS iter 110: f=0.0153603
BFGS iter 111: f=0.0153601
BFGS iter 112: f=0.0153599
BFGS iter 113: f=0.0153597
BFGS iter 114: f=0.0153595
BFGS iter 115: f=0.0153592
BFGS iter 116: f=0.015359
BFGS iter 117: f=0.0153588
BFGS iter 118: f=0.0153585
BFGS iter 119: f=0.0153584
BFGS iter 120: f=0.0153582
BFGS iter 121: f=0.015358
BFGS iter 122: f=0.0153579
BFGS iter 123: f=0.0153577
BFGS iter 124: f=0.0153574
BFGS iter 125: f=0.0153572
BFGS iter 126: f=0.015357
BFGS iter 127: f=0.0153568
BFGS iter 128: f=0.0153566
BFGS iter 129: f=0.0153564
BFGS iter 130: f=0.0153562
BFGS iter 131: f=0.015356
BFGS iter 132: f=0.0153558
BFGS iter 133: f=0.0153556
BFGS iter 134: f=0.0153553
BFGS iter 135: f=0.015355
BFGS iter 136: f=0.0153548
BFGS iter 137: f=0.0153545
BFGS iter 138: f=0.0153542
BFGS iter 139: f=0.0153539
BFGS iter 140: f=0.0153536
BFGS iter 141: f=0.0153533
BFGS iter 142: f=0.0153531
BFGS iter 143: f=0.0153527
